                  x_i              f(x_i)
0  0.5000000000000000  0.3750000000000000
1  0.4210526315789473  0.0691062837148273
2  0.4069898534385569  0.0124309990479619
3  0.4044758340843438  0.0022254331655622
4  0.4040262673567768  0.0003980565928901
5  0.4039458706982758  0.0000711880737385
6  0.4039314931458161  0.0000127308535571
7  0.4039289219658395  0.0000022766990808



count iterations: 8
