                  x_i              f(x_i)
0  0.2857142857142857 -0.5072886297376094
1  0.3774380600948867 -0.1089804738064055
2  0.3985470565689705 -0.0219318121461334
3  0.4028598963540683 -0.0043463216971693
4  0.4037172048560023 -0.0008586245261113
5  0.4038866704621890 -0.0001695169745264
6  0.4039201318105646 -0.0000334633506738
7  0.4039267373749348 -0.0000066056423973



count iterations: 8
